SMARCC2	SGK1	-t>	E
SMARCC2	NR3C1	-a>	E
SMARCC2	IFNB1	-t>	E
SMARCC2	GTF2A1	-a>	E
SMARCC2	GTF2E1	-a>	E
SMARCC2	TAFs	-a>	E
SMARCC2	chromatin remodeling (abstract)	-a>	E
BCL2L1	DIABLO	-a>	E
SMARCC1	SGK1	-t>	E
SMARCC1	NR3C1	-a>	E
SMARCC1	IFNB1	-t>	E
SMARCC1	GTF2A1	-a>	E
SMARCC1	GTF2E1	-a>	E
SMARCC1	TAFs	-a>	E
SMARCC1	chromatin remodeling (abstract)	-a>	E
PPP3R1	BAD	-a>	E
PLK3	CHEK2	-a>	E
PLK3	TP53	-a>	E
PLK3	TP73	-a>	E
STK11	SMARCD3	-a>	E
STK11	MYC	-t>	E
STK11	PRKAA2	-a>	E
AKT1	GSK3A	-a>	E
AKT1	MLST8	-a>	E
AKT1	CASP9	-a|	E
AKT1	RB1	-a|	E
AKT1	CDKN1A	-a>	E
AKT1	neuron apoptosis (abstract)	-a|	E
AKT1	GSK3B	-a>	E
AKT1	JNK cascade (abstract)	-a|	E
AKT1	GSK3B	-a|	E
AKT1	YWHAE	-a>	E
AKT1	CASP9	-a>	E
AKT1	TSC2	-a>	E
AKT1	MTOR	-a>	E
AKT1	CDKN1B	-a>	E
AKT1	DDIT4	-a>	E
AKT1	AKT1-2-active	member>	E
AKT1	MYC	-a>	E
AKT1	FRAP1	-a>	E
AKT1	BAD	-a>	E
AKT1	TSC2	-a|	E
AKT1	DDIT4	-a|	E
AKT1	RPTOR	-a>	E
AKT1	TSC1	-a>	E
AKT1	RAF1	-a|	E
AKT1	BCL2	-a|	E
AKT1	TSC1	-a|	E
AKT1	GLI2A	-a>	E
AKT1	FOXO4	-a>	E
AKT1	NFKB1	-a>	E
AKT1	EIF4EBP1	-a>	E
AKT1	BCL2L1	-a>	E
AKT1	BCL2	-a>	E
AKT1	MYC	-t>	E
AKT1	BAD	-a|	E
AKT1	AKT2	-a>	E
AKT1	FOXA2	-a>	E
AKT1	CAV1	-a|	E
AKT1	BCL2L1	-a|	E
AKT2	TSC2	-a>	E
AKT2	AKT1-2-active	member>	E
AKT2	GSK3B	-a|	E
AKT2	TSC1	-a>	E
CAV1	SHC1	-a>	E
EEF2K	EEF2	-a|	E
PECAM1	PXN	-a>	E
PECAM1	SRC	-a>	E
PIK3CA	cell proliferation (abstract)	-a>	E
PIK3CA	CCND1	-t>	E
PIK3CA	MTOR	-a>	E
PIK3CA	PXN	-a>	E
PIK3CA	NFKB1	-a>	E
PIK3CA	DAPP1	-a>	E
PIK3CA	RELA	-a>	E
PIK3CA	MAP2K1	-a>	E
PIK3CA	BCL2L1	-t>	E
PIK3CA	MYC	-a>	E
PIK3CA	AKT1	-a>	E
CAMK4	STMN1	-a>	E
CAMK4	MEF2C	-a|	E
TP63-2	MRE11A	-t>	E
TP63-2	TP63	-t|	E
TP63-2	TP63	-t>	E
TP63-2	FOSL2	-t>	E
TP63-2	RUNX1	-t>	E
TP63-5	CDKN1A	-t>	E
TP63-5	CDKN1A	-t|	E
TP63-5	SMARCD3	-t>	E
RELA	FOS	-t>	E
RELA	cell proliferation (abstract)	-a>	E
RELA	CCND1	-t>	E
RELA	NFKB1	-a|	E
RELA	IFNB1	-t>	E
RELA	NFKB1	-a>	E
RELA	BCL2L1	-t>	E
RELA	MYC	-t>	E
RELA	JUN	-t>	E
RELA	BCL2A1	-a>	E
RELA	CSF2	-t|	E
RELA	BAX	-t|	E
ERBB2	SHC1	-a>	E
ERBB2	cell proliferation (abstract)	-a>	E
ERBB2	MAP2K1	-a>	E
ERBB3	SHC1	-a>	E
ERBB3	MAP2K1	-a>	E
ERBB3	AKT1	-a>	E
IGF1R	PIK3R1	-a>	E
IGF1R	IRS1	-a|	E
IGF1R	PXN	-a>	E
IGF1R	RAF1	-a>	E
IGF1R	PIK3CA	-a>	E
IGF1R	SHC1	-a>	E
SUMO2	NR3C1	-a>	E
DDIT4	MLST8	-a>	E
DDIT4	PRR5	-a>	E
DDIT4	RICTOR	-a>	E
DDIT4	RHEB	-a>	E
DDIT4	MTOR	-a>	E
DDIT4	MAPKAP1	-a>	E
JNK cascade (abstract)	JUN	-a>	E
JNK cascade (abstract)	FOS	-a>	E
TP73-8	TP63-2	-t>	E
TP73-8	BAK1	-t|	E
TP73-8	HSF1	-t>	E
O75519	IL3	-t>	E
O75519	PTGS2	-t>	E
O75519	IL2RA	-t>	E
O75519	CSF2	-t>	E
O75519	IL5	-t>	E
PPP2R5A	MYC	-a>	E
PPP2R5A	MAX	-a>	E
SMARCD3	chromatin remodeling (abstract)	-a>	E
JNK family-active	JUN	-a>	E
JNK family-active	BCL2L11	-a>	E
JNK family-active	BAD	-a>	E
JNK family-active	NR3C1	-a>	E
JNK family-active	FOXO4	-a>	E
